distillery;age;proof;sweetness;peatiness;availability;colour;nose;flavour_palette;finish
Dalmore;12;59.5;6;6;1;pale;medium-body;medium-sweet;long
Loch Lomond;9;64;4;3;2;pale;young;medium-sweet;earth
Dufftown;10;40;8;4;0;straw;light;medium-sweet;long
Ladyburn;20;46;4;4;1;pale-straw;malt;dry;smoke
Glenfiddich;0;51;8;6;4;straw;fresh;medium-sweet;long
Glenury;12;40;2;7;2;mid-amber;medium-body;dry;long
Cragganmore;18;40;6;7;4;mid-amber;full;medium-dry;long
The Macallan;20;53.9;5;6;2;deep-amber;full-body;medium-sweet;nut
Longrow;10;46;4;7;2;amber;big-body;big;long
Tormore;10;40;8;3;6;pale-gold;elight;sweet;fine
St. Magdalene ;37;40;1;4;2;light;fresh;dry;dry
Strathisla;21;40;8;4;4;amber;medium-sweet;medium-dry;long
Glengoyne;17;59.1;6;0;1;deep-amber;full-body;medium-sweet;long
Glen Moray;12;40;6;4;6;pale-amber;medium-body;medium-dry;rich
Glenury;15;62.3;4;2;2;pale;full-body;medium-dry;long
Glenturret;21;40;7;3;1;light;rich;medium-sweet;fresh
Bowmore;38;50;2;7;1;deep;big-body;big;long
Glenlochy;22;61.4;7;4;1;amber;light;big-body;long
Glen Mhor;8;57;4;4;2;straw;light-peat;medium-sweet;spice
Glentromie;12;40;6;3;4;mid-amber;light;sweet;long
Glenmorangie;0;43;5;4;4;mid-amber;fresh;medium-dry;long
Sprinbank;10;43;7;5;2;pale-straw;full-body;full-body;long
Ben Nevis;15;63;5;6;2;full-amber;dry;big;long
Pittyvaich;12;54;5;7;3;medium;medium-body;medium-dry;cream
Allt-a-Bhainne;22;60.5;8;6;1;deep-amber;full;medium-sweet;smoke
Dailuaine;28;40;5;6;3;amber;soft;soft;long
Glen Rothes;15;43;7;3;5;mid-amber;rich;full-body;long
Highland Park;21;56.5;4;6;2;deep-amber;big-body;big;long
Coleburn;37;40;8;5;2;warm;sweet;medium-sweet;smooth
Bunnahabhain;12;40;3;6;9;straw;distinct;smooth;smooth
Ben Nevis;30;60.5;5;6;2;pale-amber;full;medium-sweet;long
Benrinnes;16;43;6;6;2;pale-straw;mash;medium-sweet;long
Royal Lochnagar;0;43;8;3;3;deep-amber;rich;full;light
Mortlach;19;59.3;7;6;2;deep-amber;big-body;medium-sweet;long
Mannochmore;10;40;4;6;5;deep;full;full-body;long
Ben Nevis;10;46;5;6;6;mid-amber;fresh;full;long
Tantallan;10;40;7;6;2;pale-straw;fresh;medium-sweet;long
The Macallan;18;40;7;4;2;deep-amber;full-body;full-body;long
Yamazaki;10;40;7;3;4;pale-amber;light;medium-sweet;long
Glentauchers;16;63.8;5;6;4;straw;fresh;medium-sweet;long
Glen Spey;8;40;7;3;0;pale-amber;light;medium-sweet;sweet
Dalmore;30;54.5;6;5;2;straw;full-body;big-body;long
Eileandour;10;40;7;3;2;amber;rich;fresh;long
Vintage Single Islay Malt;0;40;1;9;1;deep-amber;big-body;dry;long
Glenturret;27;40;6;4;1;mid-amber;full;good-body;clean
Tomatin;13;60.5;6;5;1;honey;light;light;smooth
The Macallan;11;43;8;3;2;straw;fresh;full;long
MacPhail's;10;40;6;6;4;mid-amber;light;medium-dry;fresh
Glenfarclas;30;43;6;4;2;full-amber;big-body;big-body;long
Glen Grant;5;40;4;4;4;gold;light;dry;long
Braeval;15;43;7;5;2;deep-amber;full-body;round;long
Glenturret;18;40;7;3;4;straw;rich;round;smooth
Glenturret;12;40;7;3;6;straw;rich;rich;long
Dalwhinnie;8;40;5;7;2;light;light;round;good
Blair Athol;18;50.4;5;5;1;straw;light-body;medium-sweet;long
Ardbeg;32;49;1;10;2;deep-amber;big;dry;long
Clynelish;28;50.7;3;6;2;mid-amber;full-body;dry;long
Glen Rothes;27;51.3;7;3;1;dark-amber;big-body;big;long
Banff;34;43;4;5;2;deep-amber;big;big-body;long
Glen Garioch;10;40;4;5;6;bright;delicate-peat;peat;good
Highland Park;19;43;3;5;2;pale;fresh;fresh;long
St. Magdalene ;10;62.3;2;2;2;pale-straw;fresh;medium-dry;long
Glenlossie;10;43;6;3;6;pale-straw;fresh;fresh;long
Bruichladdich;21;43;3;6;4;light;light;medium-body;tang
Bruichladdich;10;40;2;7;7;pale-gold;delicate-peat;full;long
Loch Lomond;0;40;7;4;4;amber;full-body;sweet;long
Port Ellen;14;59.7;0;9;3;mid-amber;big;big;long
Glenmorangie;18;43;4;4;6;honey;fresh;smooth;medium-dry
The Macallan;10;57;8;4;10;mid-amber;medium-body;sweet;long
